Année,Secteurs géographiques,Numéro du quartier,Nom du quartier,Nombre de pièces principales,Epoque de construction,Type de location,Loyers de référence,Loyers de référence majorés,Loyers de référence minorés,Ville,Numéro INSEE du quartier
2020,2,24,Saint-Germain-des-Prés,1,1971-1990,non meublé,27.9,33.48,19.53,PARIS,7510624
2022,4,8,Bonne-Nouvelle,1,1946-1970,non meublé,31.0,37.2,21.7,PARIS,7510208
2024,9,69,Grandes-Carrières,3,1971-1990,non meublé,22.7,27.2,15.9,PARIS,7511869
2022,3,32,Europe,2,Avant 1946,meublé,29.1,34.92,20.37,PARIS,7510832
2024,14,76,Combat,2,1971-1990,non meublé,21.4,25.7,15.0,PARIS,7511976
2024,10,44,Sainte-Marguerite,2,1971-1990,meublé,27.4,32.9,19.2,PARIS,7511144
2020,4,20,Sorbonne,1,Apres 1990,meublé,32.1,38.52,22.47,PARIS,7510520
2022,13,72,La Chapelle,2,Apres 1990,meublé,24.0,28.8,16.8,PARIS,7511872
2025,10,49,Salpêtrière,2,Avant 1946,non meublé,27.1,32.5,19.0,PARIS,7511349
2019,12,51,Maison-Blanche,2,Apres 1990,non meublé,26.0,31.2,18.2,PARIS,7511351
2021,10,67,Batignolles,4,Avant 1946,meublé,23.5,28.2,16.45,PARIS,7511767
2022,5,35,Faubourg-Montmartre,2,1946-1970,meublé,28.2,33.84,19.74,PARIS,7510935
2021,2,13,Saint-Merri,1,1971-1990,meublé,32.1,38.52,22.47,PARIS,7510413
2023,13,72,La Chapelle,3,Avant 1946,meublé,23.4,28.1,16.4,PARIS,7511872
2022,5,33,Saint-Georges,2,Apres 1990,non meublé,26.2,31.44,18.34,PARIS,7510933
2021,2,15,Arsenal,4,1946-1970,meublé,26.1,31.32,18.27,PARIS,7510415
2023,4,20,Sorbonne,1,Apres 1990,non meublé,29.0,34.8,20.3,PARIS,7510520
2024,11,71,Goutte-d'Or,2,Apres 1990,meublé,25.8,31.0,18.1,PARIS,7511871
2023,9,70,Clignancourt,3,1971-1990,meublé,25.0,30.0,17.5,PARIS,7511870
2025,2,22,Odeon,2,Avant 1946,meublé,35.0,42.0,24.5,PARIS,7510622
2019,9,70,Clignancourt,1,Apres 1990,non meublé,23.3,28.0,16.3,PARIS,7511870
2022,2,1,St-Germain-l'Auxerrois,4,1971-1990,non meublé,22.6,27.12,15.82,PARIS,7510101
2020,2,30,Faubourg-du-Roule,4,Avant 1946,meublé,28.9,34.68,20.23,PARIS,7510830
2022,6,66,Plaine de Monceaux,2,1971-1990,meublé,29.4,35.28,20.58,PARIS,7511766
2019,3,32,Europe,4,Apres 1990,meublé,28.1,33.7,19.7,PARIS,7510832
2019,5,52,Croulebarbe,1,1971-1990,meublé,29.7,35.6,20.8,PARIS,7511352
2025,10,42,Saint-Ambroise,3,Apres 1990,meublé,25.5,30.6,17.9,PARIS,7511142
2025,4,7,Mail,3,1971-1990,meublé,30.1,36.1,21.1,PARIS,7510207
2021,1,23,Notre-Dame-des-Champs,4,Apres 1990,non meublé,30.5,36.6,21.35,PARIS,7510623
2019,1,23,Notre-Dame-des-Champs,1,1946-1970,non meublé,30.1,36.1,21.1,PARIS,7510623
2021,6,58,Necker,4,1971-1990,meublé,24.9,29.88,17.43,PARIS,7511558
2020,11,77,Belleville,4,1946-1970,non meublé,21.6,25.92,15.12,PARIS,7512077
2024,2,30,Faubourg-du-Roule,3,Avant 1946,non meublé,28.3,34.0,19.8,PARIS,7510830
2022,5,36,Rochechouart,3,1946-1970,non meublé,20.4,24.48,14.28,PARIS,7510936
2024,3,63,Porte-Dauphine,2,Avant 1946,non meublé,26.9,32.3,18.8,PARIS,7511663
2024,7,60,Javel 15Art,4,1971-1990,meublé,26.6,31.9,18.6,PARIS,7511560
2025,7,60,Javel 15Art,1,1946-1970,non meublé,28.2,33.8,19.7,PARIS,7511560
2021,5,38,Porte-Saint-Denis,1,1971-1990,non meublé,27.1,32.52,18.97,PARIS,7511038
2024,13,73,Villette,4,1946-1970,meublé,18.1,21.7,12.7,PARIS,7511973
2025,10,18,Jardin-des-Plantes,3,Apres 1990,meublé,25.5,30.6,17.9,PARIS,7510518
2020,13,74,Pont-de-Flandre,2,1946-1970,meublé,21.6,25.92,15.12,PARIS,7511974
2023,1,23,Notre-Dame-des-Champs,3,1971-1990,non meublé,28.2,33.8,19.7,PARIS,7510623
